,Identifier,Place of Publication,Date of Publication,Publisher,Title,Author,Flickr URL
0,206,London,1879 [1878],S. Tinsley & Co.,Walter Forbes. [A novel.] By A. A,A. A.,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000206
1,216,London; Virtue & Yorston,1868,Virtue & Co.,"All for Greed. [A novel. The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]","A., A. A.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216
2,218,London,1869,"Bradbury, Evans & Co.","Love the Avenger. By the author of “All for Greed.” [The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]","A., A. A.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218
3,472,London,1851,James Darling,"Welsh Sketches, chiefly ecclesiastical, to the close of the twelfth century. By the author of “Proposals for Christian Union” (E. S. A. [i.e. Ernest Appleyard])","A., E. S.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472
4,480,London,1857,Wertheim & Macintosh,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]","A., E. S.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480
5,481,London,1875,William Macintosh,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]","A., E. S.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481
6,519,London,1872,The Author,Lagonells. By the author of Darmayne (F. E. A. [i.e. Florence Emily Ashley]),"A., F. E.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519
7,667,Puerto Rico,,,"The Coming of Spring, and other poems. By J. A. [i.e. J. Andrews.]","A., J.|A., J.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000667
8,874,London],1676,,"A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]",Remaʿ.,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874
9,1143,London,1676,,A Satyr against Vertue. (A poem: supposed to be spoken by a Town-Hector. [By John Oldham. The preface signed: T. A.]),"A., T.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143
10,1280,Coventry,1802,Printed by J. Turner,"An Account of the many and great Loans, Benefactions and Charities, belonging to the City of Coventry ... A new edition. [The dedication signed: AB, CD, EF, GH, &c. By Edward Jackson and Samuel Carte.]",,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001280
11,1808,Christiania,1859,,"Erindringer som Bidrag til Norges Historie fra 1800-1815. Anden Udgave ... Udgivet med nogle Rettelser og Tillæg af Christian C. A. Lange. Med Forfatterens Portraet, og hans Biographi af Amtmand J. C. Aall","AALL, Jacob.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000001808
12,1905,Firenze,1888,,Gli Studi storici in terra d'Otranto ... Frammenti estratti in gran parte dall' Archivio Storico Italiano ... a cura e spese di L(uigi) G(iuseppe) D(e) S(imone),"AAR, Ermanno - pseud. [i.e. Luigi Giuseppe Oronzo Mariano Raffaele Francesco Fortunato Felice de Simone.]",http://www.flickr.com/photos/britishlibrary/tags/sysnum000001905
13,1929,Amsterdam,"1676, 38-54",,De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.],,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001929
14,2836,Savona,1888,,Cronache Savonesi dal 1500 al 1570 ... Accresciute di documenti inediti pubblicate e annotate dal dott. G. Assereto,"ABATE, Giovanni Agostino.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000002836
15,2854,London,1888,E. Moxon & Co.,"See-Saw; a novel ... Edited [or rather, written] by W. W. Reade","ABATI, Francesco.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000002854
16,2956,Paris,1860-63,,"Géodésie d'une partie de la Haute Éthiopie, revue et rédigée par R. Radau. fasc. 1-3","ABBADIE, Antoine Thompson d'.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000002956
17,2957,Paris,1873,,[With eleven maps.],"ABBADIE, Antoine Thompson d'.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000002957
18,3017,Puerto-Rico,1866,,"[Historia geográfica, civil y politica de la Isla de S. Juan Bautista de Puerto Rico, Dala a luz A. Valladares de Sotomayor.]","ABBAD Y LASIERRA, Agustín Íñigo - Bishop of Barbastro",http://www.flickr.com/photos/britishlibrary/tags/sysnum000003017
19,3131,New York,1899,W. Abbatt,"The Crisis of the Revolution, being the story of Arnold and André now for the first time collected from all sources, and illustrated with views of all places identified with it ... Illustrations from original photographs by E. S. Bennett, etc","ABBATT, William.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000003131
